id,pid,lot_frontage,lot_area,street,alley,land_contour,utilities,overall_qual,overall_cond,year_built,year_remod/add,exterior_1st,condition_artery,condition_feedr,exterior_2nd,condition_posa,condition_posn,condition_rrae,condition_rran,mas_vnr_area,condition_rrnn,exter_qual,exter_cond,bsmt_cond,bsmt_exposure,freshness,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,totbsmtfin_sq_ft,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,total_sq_ft,garage_finish,totfin_sq_ft,garage_cars,bsmtfin_type_alq,bsmt_bath,bsmtfin_type_blq,bsmtfin_type_glq,bsmtfin_type_lwq,bsmtfin_type_rec,garage_area,garage_qual,total_bath,garage_cond,totrooms,wood_deck_sf,open_porch_sf,enclosed_porch_sf,3ssn_porch_sf,screen_porch_sf,misc_feature,misc_val,saleprice,ms_zoning_a_(agr),ms_zoning_c_(all),ms_zoning_fv,ms_zoning_i_(all),ms_zoning_rh,ms_zoning_rl,ms_zoning_rm,lot_shape_ir1,lot_shape_ir2,lot_shape_ir3,lot_shape_reg,lot_config_corner,lot_config_culdsac,lot_config_fr2,lot_config_fr3,wood_deck,open_porch,lot_config_inside,enclosed_porch,land_slope_gtl,3ssn_porch,land_slope_mod,screen_porch,land_slope_sev,neighborhood_blmngtn,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker,bldg_type_1fam,bldg_type_2fmcon,bldg_type_duplex,bldg_type_twnhs,bldg_type_twnhse,house_style_1.5fin,house_style_1.5unf,house_style_1story,house_style_2.5fin,house_style_2.5unf,house_style_2story,house_style_sfoyer,house_style_slvl,roof_style_flat,roof_style_gable,roof_style_gambrel,roof_style_hip,roof_style_mansard,roof_style_shed,roof_matl_clytile,roof_matl_compshg,roof_matl_membran,roof_matl_tar&grv,roof_matl_wdshake,roof_matl_wdshngl,mas_vnr_type_0,mas_vnr_type_brkcmn,mas_vnr_type_brkface,mas_vnr_type_stone,foundation_brktil,foundation_cblock,foundation_pconc,foundation_slab,foundation_stone,foundation_wood,bsmt_qual_0,bsmt_qual_ex,bsmt_qual_fa,bsmt_qual_gd,bsmt_qual_po,bsmt_qual_ta,heating_gasa,heating_gasw,heating_grav,heating_othw,heating_wall,central_air_n,central_air_y,electrical_fusea,electrical_fusef,electrical_fusep,electrical_mix,electrical_sbrkr,garage_type_0,garage_type_2types,garage_type_attchd,garage_type_basment,garage_type_builtin,garage_type_carport,garage_type_detchd,paved_drive_n,paved_drive_p,paved_drive_y,fence_0,fence_gdprv,fence_gdwo,fence_mnprv,fence_mnww,sale_type_cod,sale_type_cwd,sale_type_con,sale_type_conld,sale_type_conli,sale_type_conlw,sale_type_new,sale_type_oth,sale_type_wd_
109,533352170,0.0,13517,Pave,0,Lvl,AllPub,6,8,1976,2005,HdBoard,0,0,Plywood,0,0,1,0,289.0,0,4,3,3.0,0.0,29,533.0,0.0,192.0,725.0,5,725,754,0,0.0,0.0,2,1,533.0,3,1,4,6,8,0,0.0,1976.0,2204.0,RFn,533.0,2.0,0,0.0,0,1,0,0,475.0,3.0,3.0,0.0,9.0,0,44,0,0,0,0,0,130500,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
544,531379050,43.0,11492,Pave,0,Lvl,AllPub,7,5,1996,1997,VinylSd,0,0,VinylSd,0,0,0,0,132.0,0,4,3,3.0,0.0,1,637.0,0.0,276.0,913.0,5,913,1209,0,1.0,0.0,2,1,637.0,4,1,4,8,8,1,3.0,1997.0,3035.0,RFn,637.0,2.0,0,1.0,0,1,0,0,559.0,3.0,4.0,0.0,12.0,0,74,0,0,0,0,0,220000,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
153,535304180,68.0,7922,Pave,0,Lvl,AllPub,5,7,1953,2007,VinylSd,0,0,VinylSd,0,0,0,0,0.0,0,3,4,3.0,0.0,54,731.0,0.0,326.0,1057.0,3,1057,0,0,1.0,0.0,1,0,731.0,3,1,4,5,8,0,0.0,1953.0,2114.0,Unf,731.0,1.0,0,1.0,0,1,0,0,246.0,3.0,2.0,0.0,7.0,0,52,0,0,0,0,0,109000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
318,916386060,73.0,9802,Pave,0,Lvl,AllPub,5,5,2006,2007,VinylSd,0,0,VinylSd,0,0,0,0,0.0,0,3,3,3.0,0.0,1,0.0,0.0,384.0,384.0,4,744,700,0,0.0,0.0,2,1,0.0,3,1,3,7,8,0,0.0,2007.0,1828.0,Fin,0.0,2.0,0,0.0,0,0,0,0,400.0,3.0,3.0,0.0,10.0,100,0,0,0,0,0,0,174000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
255,906425045,82.0,14235,Pave,0,Lvl,AllPub,6,8,1900,1993,Wd Sdng,0,0,Plywood,0,0,0,0,0.0,0,3,3,4.0,0.0,93,0.0,0.0,676.0,676.0,3,831,614,0,0.0,0.0,2,0,0.0,3,1,3,6,8,0,0.0,1957.0,2121.0,Unf,0.0,2.0,0,0.0,0,0,0,0,484.0,3.0,2.0,0.0,8.0,0,59,0,0,0,0,0,138500,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
138,535126040,137.0,16492,Pave,0,Lvl,AllPub,6,6,1966,2002,BrkFace,0,0,Plywood,1,0,0,0,0.0,0,4,3,3.0,0.0,36,247.0,713.0,557.0,1517.0,5,1888,0,0,0.0,0.0,2,1,960.0,2,1,4,6,5,1,4.0,1966.0,3405.0,Fin,960.0,2.0,1,0.0,0,0,0,1,578.0,3.0,3.0,0.0,9.0,0,0,0,0,0,0,0,190000,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2827,908186070,35.0,3675,Pave,0,Lvl,AllPub,6,5,2005,2006,VinylSd,0,0,VinylSd,0,0,0,0,82.0,0,3,3,3.0,3.0,1,547.0,0.0,0.0,547.0,4,1072,0,0,1.0,0.0,2,0,547.0,2,1,3,5,8,0,0.0,2005.0,1619.0,Fin,547.0,2.0,0,1.0,0,1,0,0,525.0,3.0,3.0,0.0,8.0,0,44,0,0,0,0,0,140000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
145,535154050,0.0,12160,Pave,0,Lvl,AllPub,5,5,1959,1959,Plywood,0,0,Plywood,0,0,0,0,180.0,0,3,3,3.0,0.0,0,1000.0,0.0,188.0,1188.0,2,1188,0,0,1.0,0.0,1,0,1000.0,3,1,3,6,8,0,0.0,1959.0,2376.0,RFn,1000.0,2.0,0,1.0,0,0,0,1,531.0,3.0,2.0,0.0,8.0,0,0,0,0,0,0,0,142000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1942,535353130,0.0,15783,Pave,0,Lvl,AllPub,5,5,1952,1952,Wd Sdng,1,0,Wd Sdng,0,0,0,0,0.0,0,3,3,3.0,0.0,0,292.0,0.0,632.0,924.0,3,924,0,0,0.0,0.0,1,0,292.0,2,1,3,6,8,0,0.0,1952.0,1848.0,Unf,292.0,1.0,0,0.0,0,0,0,1,420.0,3.0,1.0,0.0,7.0,0,324,0,0,0,Shed,400,112500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1956,535426130,70.0,11606,Pave,0,HLS,AllPub,5,5,1969,1969,Plywood,0,0,Plywood,0,0,0,0,192.0,0,3,3,3.0,2.0,0,650.0,0.0,390.0,1040.0,3,1040,1040,0,0.0,1.0,1,2,650.0,5,1,2,9,8,2,3.0,1969.0,3120.0,Unf,650.0,2.0,0,1.0,0,0,0,1,504.0,3.0,4.0,0.0,13.0,335,0,0,0,0,0,0,135000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
